date,demand
2019-09-03,1519
2019-09-04,1692
2019-09-05,2268
2019-09-06,2385
2019-09-07,2199
2019-09-08,1521
2019-09-09,1552
2019-09-10,1542
2019-09-11,1595
2019-09-12,1669
2019-09-13,1742
2019-09-14,1717
2019-09-15,1923
2019-09-16,3421
2019-09-17,3385
2019-09-18,3302
2019-09-19,2200
2019-09-20,1506
2019-09-21,1400
2019-09-22,1310
2019-09-23,1390
2019-09-24,1620
2019-09-25,1993
2019-09-26,2150
2019-09-27,2110
2019-09-28,1839
2019-09-29,1439
2019-09-30,1386
2019-10-01,1763
2019-10-02,1974
2019-10-03,2565
2019-10-04,2062
2019-10-05,1327
2019-10-06,1365
2019-10-07,1628
2019-10-08,1739
2019-10-09,1696
2019-10-10,1914
2019-10-11,2464
2019-10-12,2594
2019-10-13,2510
2019-10-14,2320
2019-10-15,2092
2019-10-16,1603
2019-10-17,1636
2019-10-18,1606
2019-10-19,1725
2019-10-20,1970
2019-10-21,2541
2019-10-22,2395
2019-10-23,2087
2019-10-24,1661
2019-10-25,1570
2019-10-26,1513
2019-10-27,1844
2019-10-28,2546
2019-10-29,2533
2019-10-30,2255
2019-10-31,1652
2019-11-01,1294
2019-11-02,1365
2019-11-03,1296
2019-11-04,1502
2019-11-05,1627
2019-11-06,1728
2019-11-07,2054
2019-11-08,2261
2019-11-09,2135
2019-11-10,2007
2019-11-11,1748
2019-11-12,2038
2019-11-13,2257
2019-11-14,2374
2019-11-15,2398
2019-11-16,2429
2019-11-17,2272
2019-11-18,2743
2019-11-19,4310
2019-11-20,3926
2019-11-21,4068
2019-11-22,2759
2019-11-23,1339
2019-11-24,1545
2019-11-25,1533
2019-11-26,1498
2019-11-27,1501
2019-11-28,1953
2019-11-29,2027
2019-11-30,1852
2019-12-01,1623
2019-12-02,1659
2019-12-03,2159
2019-12-04,1466
2019-12-05,1497
2019-12-06,1700
2019-12-07,1344
2019-12-08,1830
2019-12-09,3030
2019-12-10,2859
2019-12-11,2932
2019-12-12,2839
2019-12-13,2715
2019-12-14,1699
2019-12-15,1360
2019-12-16,1368
2019-12-17,1451
2019-12-18,1331
2019-12-19,1371
2019-12-20,1376
2019-12-21,1376
2019-12-22,1380
2019-12-23,1396
2019-12-24,1230
2019-12-25,2009
2019-12-26,1627
2019-12-27,1619
2019-12-28,1590
2019-12-29,1558
2019-12-30,1479
2019-12-31,1407
2020-01-01,1214
2020-01-02,1513
2020-01-03,1555
2020-01-04,1393
2020-01-05,1345
2020-01-06,1431
2020-01-07,1415
2020-01-08,1377
2020-01-09,1373
2020-01-10,1216
2020-01-11,1256
2020-01-12,1113
2020-01-13,1526
2020-01-14,1651
2020-01-15,1633
2020-01-16,1411
2020-01-17,1385
2020-01-18,1704
2020-01-19,1822
2020-01-20,2046
2020-01-21,1849
2020-01-22,1670
2020-01-23,2031
2020-01-24,2196
2020-01-25,1625
2020-01-26,1099
2020-01-27,1383
2020-01-28,1361
2020-01-29,1447
2020-01-30,1500
2020-01-31,1622
2020-02-01,1806
2020-02-02,1913
2020-02-03,2193
2020-02-04,2349
2020-02-05,2246
2020-02-06,2030
2020-02-07,1409
2020-02-08,1037
2020-02-09,1026
2020-02-10,1319
2020-02-11,1565
2020-02-12,1509
2020-02-13,2305
2020-02-14,2088
2020-02-15,1647
2020-02-16,1311
2020-02-17,1207
2020-02-18,1511
2020-02-19,1640
2020-02-20,1649
2020-02-21,1714
2020-02-22,1638
2020-02-23,1752
2020-02-24,2736
2020-02-25,3159
2020-02-26,3089
2020-02-27,2360
2020-02-28,1692
2020-02-29,1127
