,count,aggregated_impact,community_count,concerts_count,festivals_count,performing-arts_count,sports_count,conferences_count,expos_count,public-holidays_count,school-holidays_count,observances_count,community_impact,concerts_impact,festivals_impact,performing-arts_impact,sports_impact,conferences_impact,expos_impact,public-holidays_impact,school-holidays_impact,observances_impact,rescaled_aei
2017-05-22,3,19833,0,1,1,0,0,1,0,0,0,0,0,6000,7833,0,0,6000,0,0,0,0,0.04945885286783042
2017-05-23,2,13833,0,0,1,0,0,1,0,0,0,0,0,0,7833,0,0,6000,0,0,0,0,0.03449625935162095
2017-05-24,1,7833,0,0,1,0,0,0,0,0,0,0,0,0,7833,0,0,0,0,0,0,0,0.01953366583541147
2017-05-25,1,7833,0,0,1,0,0,0,0,0,0,0,0,0,7833,0,0,0,0,0,0,0,0.01953366583541147
2017-05-26,4,82500,0,0,2,0,1,0,1,0,0,0,0,0,70500,0,6000,0,6000,0,0,0,0.20573566084788028
2017-05-27,5,155500,0,1,2,0,1,0,1,0,0,0,0,19000,70500,0,60000,0,6000,0,0,0,0.3877805486284289
2017-05-28,5,101500,0,1,2,0,1,0,1,0,0,0,0,19000,70500,0,6000,0,6000,0,0,0,0.25311720698254364
2017-05-29,5,95500,0,1,2,0,0,0,1,1,0,0,0,19000,70500,0,0,0,6000,0,0,0,0.23815461346633415
2017-05-30,2,13833,0,0,1,0,0,0,1,0,0,0,0,0,7833,0,0,0,6000,0,0,0,0.03449625935162095
2017-05-31,3,32833,0,0,1,0,1,0,1,0,0,0,0,0,7833,0,19000,0,6000,0,0,0,0.08187780548628429
2017-06-01,3,86833,0,1,1,0,1,0,0,0,0,0,0,60000,7833,0,19000,0,0,0,0,0,0.21654114713216957
2017-06-02,2,26833,0,0,1,0,1,0,0,0,0,0,0,0,7833,0,19000,0,0,0,0,0,0.06691521197007481
2017-06-03,5,57833,1,1,1,0,2,0,0,0,0,0,6000,19000,7833,0,25000,0,0,0,0,0,0.1442219451371571
2017-06-04,6,130833,0,2,1,0,2,1,0,0,0,0,0,38000,7833,0,79000,6000,0,0,0,0,0.32626683291770575
2017-06-05,2,13833,0,0,1,0,0,1,0,0,0,0,0,0,7833,0,0,6000,0,0,0,0,0.03449625935162095
2017-06-06,4,34733,0,0,1,0,1,2,0,0,0,0,0,0,7833,0,19000,7900,0,0,0,0,0.08661596009975062
2017-06-07,4,51833,0,1,1,0,1,1,0,0,0,0,0,19000,7833,0,19000,6000,0,0,0,0,0.12925935162094762
2017-06-08,3,32833,0,1,1,0,1,0,0,0,0,0,0,6000,7833,0,19000,0,0,0,0,0,0.08187780548628429
2017-06-09,2,67833,0,0,1,0,1,0,0,0,0,0,0,0,7833,0,60000,0,0,0,0,0,0.16915960099750624
2017-06-10,3,127833,0,1,1,0,1,0,0,0,0,0,0,60000,7833,0,60000,0,0,0,0,0,0.318785536159601
2017-06-11,3,73833,0,1,1,0,1,0,0,0,0,0,0,6000,7833,0,60000,0,0,0,0,0,0.1841221945137157
2017-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-06-13,2,12000,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0.029925187032418952
2017-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-06-16,4,139000,0,1,2,0,0,0,0,0,1,0,0,60000,79000,0,0,0,0,0,0,0,0.34663341645885287
2017-06-17,4,57000,0,0,2,0,0,1,0,0,1,0,0,0,38000,0,0,19000,0,0,0,0,0.14214463840399003
2017-06-18,6,64900,0,1,1,0,2,1,0,0,1,0,0,1900,19000,0,25000,19000,0,0,0,0,0.16184538653366584
2017-06-19,2,19000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-06-20,2,19000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-06-21,3,79000,0,0,0,0,2,0,0,0,1,0,0,0,0,0,79000,0,0,0,0,0,0.1970074812967581
2017-06-22,2,19000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-06-23,3,25000,0,0,0,0,2,0,0,0,1,0,0,0,0,0,25000,0,0,0,0,0,0.062344139650872814
2017-06-24,5,50000,0,1,1,0,2,0,0,0,1,0,0,6000,19000,0,25000,0,0,0,0,0,0.12468827930174563
2017-06-25,5,145000,0,1,2,0,1,0,0,0,1,0,0,6000,120000,0,19000,0,0,0,0,0,0.3615960099750623
2017-06-26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-06-27,4,31000,0,2,0,0,1,0,0,0,1,0,0,12000,0,0,19000,0,0,0,0,0,0.0773067331670823
2017-06-28,3,25000,0,0,0,0,2,0,0,0,1,0,0,0,0,0,25000,0,0,0,0,0,0.062344139650872814
2017-06-29,2,60000,1,0,0,0,0,0,0,0,1,0,60000,0,0,0,0,0,0,0,0,0,0.14962593516209477
