place_id,name,type,parent_place_id,parent_name,parent_type
5051936,Washington County,county,5037779,Minnesota,region
4462997,Dare County,county,4482348,North Carolina,region
4421859,Claiborne County,county,4436296,Mississippi,region
5038458,Mower County,county,5037779,Minnesota,region
4277733,Pratt County,county,4273857,Kansas,region
5733534,Jefferson County,county,5744337,Oregon,region
4107079,Crittenden County,county,4099753,Arkansas,region
4192532,Early County,county,4197000,Georgia,region
4198821,Hall County,county,4197000,Georgia,region
4281258,Washington County,county,4273857,Kansas,region
4780851,City of Radford,county,6254928,Virginia,region
4339583,Saint Charles Parish,county,4331987,Louisiana,region
4460927,Clay County,county,4482348,North Carolina,region
5868437,Matanuska-Susitna Borough,county,5879092,Alaska,region
4535845,Ellis County,county,4544379,Oklahoma,region
5226565,Brule County,county,5769223,South Dakota,region
4943909,Middlesex County,county,6254926,Massachusetts,region
4846362,Adams County,county,4862182,Iowa,region
4791271,City of Virginia Beach,county,6254928,Virginia,region
4297902,Leslie County,county,6254925,Kentucky,region
4213838,Oconee County,county,4197000,Georgia,region
4589892,Oconee County,county,4597040,South Carolina,region
4190959,Dawson County,county,4197000,Georgia,region
5861900,Fairbanks North Star Borough,county,5879092,Alaska,region
4894828,Grundy County,county,4896861,Illinois,region
4728231,Shelby County,county,4736286,Texas,region
4878233,Tama County,county,4862182,Iowa,region
5690436,McHenry County,county,5690763,North Dakota,region
4663355,Trousdale County,county,4662168,Tennessee,region
5001594,Mecosta County,county,5001836,Michigan,region
5042928,Renville County,county,5037779,Minnesota,region
4987673,Calhoun County,county,5001836,Michigan,region
4115832,Independence County,county,4099753,Arkansas,region
4749535,Buchanan County,county,6254928,Virginia,region
4402051,Osage County,county,4398678,Missouri,region
4384778,Dunklin County,county,4398678,Missouri,region
4778642,City of Petersburg,county,6254928,Virginia,region
4303951,Perry County,county,6254925,Kentucky,region
4699487,Hunt County,county,4736286,Texas,region
4298811,Livingston County,county,6254925,Kentucky,region
5733351,Jackson County,county,5744337,Oregon,region
5082335,York County,county,5073708,Nebraska,region
4185265,Burke County,county,4197000,Georgia,region
4408345,Shelby County,county,4398678,Missouri,region
5460788,Catron County,county,5481136,New Mexico,region
4693922,Goliad County,county,4736286,Texas,region
4901666,McHenry County,county,4896861,Illinois,region
4148826,Brevard County,county,4155751,Florida,region
4331488,Livingston Parish,county,4331987,Louisiana,region
4275073,Marion County,county,4273857,Kansas,region
5721611,Crook County,county,5744337,Oregon,region
5653782,Garfield County,county,5667009,Montana,region
5571369,Siskiyou County,county,5332921,California,region
4900233,Livingston County,county,4896861,Illinois,region
5690614,Mountrail County,county,5690763,North Dakota,region
4760031,City of Franklin,county,6254928,Virginia,region
5763916,Custer County,county,5769223,South Dakota,region
5532405,Tom Green County,county,4736286,Texas,region
4548292,Pontotoc County,county,4544379,Oklahoma,region
4265618,Switzerland County,county,4921868,Indiana,region
5180052,Berks County,county,6254927,Pennsylvania,region
4217715,Quitman County,county,4197000,Georgia,region
5151705,Darke County,county,5165418,Ohio,region
4301955,Muhlenberg County,county,6254925,Kentucky,region
5253400,Forest County,county,5279468,Wisconsin,region
4236063,Clinton County,county,4896861,Illinois,region
5487732,Rio Arriba County,county,5481136,New Mexico,region
4202266,Irwin County,county,4197000,Georgia,region
4238982,Franklin County,county,4896861,Illinois,region
4172445,Seminole County,county,4155751,Florida,region
4677558,Burleson County,county,4736286,Texas,region
4541599,Logan County,county,4544379,Oklahoma,region
4379332,Butler County,county,4398678,Missouri,region
5071364,Kearney County,county,5073708,Nebraska,region
5156844,Hardin County,county,5165418,Ohio,region
